问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,64,12,P:System.Windows.Forms.Form.DialogResult,,,,,this.DialogResult = System.Windows.Forms.DialogResult.OK;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,50,16,T:System.Windows.Forms.PropertyGrid,,,,,propertyGrid1.Refresh();
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,50,16,M:System.Windows.Forms.PropertyGrid.Refresh,,,,,propertyGrid1.Refresh();
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,32,12,T:System.Windows.Forms.PropertyGrid,,,,,this.propertyGrid1.SelectedObject = unit;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,32,12,P:System.Windows.Forms.PropertyGrid.SelectedObject,,,,,this.propertyGrid1.SelectedObject = unit;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,28,8,M:System.Windows.Forms.Form.#ctor,,,,,public BaseUnitEditor(CapeUnitBase unit)          {              InitializeComponent();              m_Unit = unit;              this.propertyGrid1.SelectedObject = unit;                if (unit.Ports is PortCollection ports)              {                  ports.ListChanged += Collection_ListChanged;              }              if (unit.Parameters is ParameterCollection parameters)              {                  parameters.ListChanged += Collection_ListChanged;              }          }
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,98,44,T:System.Windows.Forms.Button,,,,,CloseButton
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,97,50,T:System.Windows.Forms.PropertyGrid,,,,,propertyGrid1
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,96,45,T:System.Windows.Forms.TabPage,,,,,tabPage1
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,95,48,T:System.Windows.Forms.TabControl,,,,,tabControl1
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,89,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,88,12,T:System.Windows.Forms.TabPage,,,,,this.tabPage1.ResumeLayout(false);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,88,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.tabPage1.ResumeLayout(false);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,87,12,T:System.Windows.Forms.TabControl,,,,,this.tabControl1.ResumeLayout(false);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,87,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.tabControl1.ResumeLayout(false);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,86,12,P:System.Windows.Forms.Form.Text,,,,,"this.Text = ""BaseUnitEditor"";"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,85,12,P:System.Windows.Forms.Control.Name,,,,,"this.Name = ""BaseUnitEditor"";"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,84,12,T:System.Windows.Forms.TabControl,,,,,this.Controls.Add(this.tabControl1);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,84,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.tabControl1);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,84,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.tabControl1);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,84,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.tabControl1);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,83,12,T:System.Windows.Forms.Button,,,,,this.Controls.Add(this.CloseButton);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,83,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.CloseButton);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,83,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.CloseButton);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,83,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.CloseButton);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,82,12,P:System.Windows.Forms.Form.ClientSize,,,,,"this.ClientSize = new System.Drawing.Size(457, 501);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,81,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,81,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,81,12,F:System.Windows.Forms.AutoScaleMode.Font,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,81,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,81,12,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,80,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"this.AutoScaleDimensions = new System.Drawing.SizeF(6F, 13F);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,79,12,T:System.Windows.Forms.Button,,,,,this.AcceptButton = this.CloseButton;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,79,12,T:System.Windows.Forms.IButtonControl,,,,,this.AcceptButton = this.CloseButton;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,79,12,P:System.Windows.Forms.Form.AcceptButton,,,,,this.AcceptButton = this.CloseButton;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,75,12,T:System.Windows.Forms.Button,,,,,this.CloseButton.Click += new System.EventHandler(this.CloseButton_Click);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,75,12,E:System.Windows.Forms.Control.Click,,,,,this.CloseButton.Click += new System.EventHandler(this.CloseButton_Click);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,74,12,T:System.Windows.Forms.Button,,,,,this.CloseButton.UseVisualStyleBackColor = true;
